,nsites,nelements,volume,density,density_atomic,uncorrected_energy_per_atom,energy_per_atom,formation_energy_per_atom,energy_above_hull,equilibrium_reaction_energy_per_atom,band_gap,efermi,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,num_magnetic_sites,num_unique_magnetic_sites,k_voigt,k_reuss,k_vrh,g_voigt,g_reuss,g_vrh,universal_anisotropy,homogeneous_poisson
mp-24084,2,2,45.63131357684779,1.4594797544514642,22.815656788423894,-2.440007685,-2.529507685,-0.277945189,0.0,-0.277945189,3.4330999999999996,-1.58684472,0.0,0.0,0.0,0,0,13.753770168856754,13.753770168856752,13.753770168856754,10.821218092982068,10.79874416867074,10.809981130826404,0.010405804582595657,0.18860054770382717
mp-343,2,2,35.421421550657314,7.262309610698616,17.710710775328657,-7.84207983,-8.02257983,-1.46387949,0.0,-1.46387949,0.0,3.84036242,0.0,0.0,0.0,0,0,132.99865060960443,132.99865060960443,132.99865060960443,89.75869127810438,89.62892331337838,89.69380729574138,0.007239179046717226,0.22469095488182506
mp-867771,4,3,56.792641098423516,13.166298144591506,14.198160274605879,-8.1127434675,-8.1127434675,-0.44134345750000037,0.0,-0.013045675624999475,0.0,7.27161937,3.18e-05,5.599316986313342e-07,3.18e-05,0,0,224.4964409218426,224.49644092184252,224.49644092184258,75.2826966741586,27.048304058353065,51.165500366255834,8.916343241289056,0.39408991964243567
mp-862290,4,3,50.944779723957126,8.75488743082774,12.736194930989281,-6.398555845,-6.398555845,-0.12166589083333346,0.0,-0.005236562499999486,0.0,4.56116124,4.4817792,0.08797327663961639,4.4817792,3,2,142.94474851812362,142.9447485181236,142.94474851812362,66.5303009273729,53.781913488464866,60.156107207918886,1.1851928103713067,0.31546842324772123
mp-865107,4,3,104.75645173599293,7.318520134363223,26.18911293399823,-2.7103918575,-2.7103918575,-0.12336698663793078,0.0,-0.0037256090234376593,0.0,4.97124444,1.4e-06,1.3364331998646519e-08,1.4e-06,0,0,30.633033012464278,30.63303301246436,30.633033012464317,7.249151232387853,-3.212488484778968,2.0183313738044424,-16.282766096648945,0.4677642685979438
mp-1164,2,2,38.570674136028565,10.50675180594638,19.285337068014282,-8.596661635,-8.596661635,-0.2753997637500003,0.0,-0.010294326874999982,0.0,6.95433119,8e-07,2.0741146425872973e-08,8e-07,0,0,139.01189123207908,139.01189123207908,139.01189123207908,73.71900483943682,73.08563576359114,73.40232030151398,0.04333061272767935,0.275499692520201
mp-867137,4,3,58.72986729786973,8.42676458682056,14.682466824467433,-8.949609315,-8.949609315,-0.45831425125,0.0,-0.0699266749999996,0.0,7.04139033,6.1e-06,1.0386538026829938e-07,6.1e-06,0,0,195.2361999847618,195.2361999847618,195.2361999847618,92.77009471631291,84.93837047215793,88.85423259423541,0.4610239283270774,0.30241818484452854
mp-22947,9,3,239.4994734153692,3.308061788280559,26.61105260170769,-4.136511344444445,-4.545844677777778,-1.684006340111111,0.0,-0.06935866580246852,1.0776,0.82268248,3.0,0.012526123574380616,3.0,1,1,12.32055649051699,12.320556490516992,12.320556490516992,5.902688561205655,5.62198177498278,5.762335168094218,0.24965109943257868,0.2976897806035556
mp-30062,9,3,316.2944079993099,4.93665469680322,35.143823111034436,-3.0212761755555553,-3.3772761755555556,-1.468375281762452,0.0,-0.1286831333333338,1.4417,-0.4364949,0.0,0.0,0.0,0,0,8.198358858048095,8.198358858048095,8.198358858048095,5.097622249540335,5.084685311482149,5.091153780511242,0.012721473666199579,0.2427517546171289
mp-865948,4,3,59.29550747435528,10.77742100732776,14.82387686858882,-9.5572981125,-9.5572981125,-0.6573433404166664,0.0,-0.0876878750000003,0.0,7.02535312,5e-07,8.432342032256744e-09,5e-07,0,0,214.5873883332067,214.58738833317975,214.58738833319322,102.24525772726977,100.51331569195361,101.37928670961169,0.08615485537391976,0.295919379178806
