,nsites,nelements,volume,density,density_atomic,uncorrected_energy_per_atom,energy_per_atom,formation_energy_per_atom,energy_above_hull,equilibrium_reaction_energy_per_atom,band_gap,efermi,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,num_magnetic_sites,num_unique_magnetic_sites,k_voigt,k_reuss,k_vrh,g_voigt,g_reuss,g_vrh,universal_anisotropy,homogeneous_poisson
mp-1086,2,2,22.295634443676896,14.371210702036429,11.147817221838448,-11.11855111,-11.11855111,-0.5753295487500001,0.0,-0.1275006793749984,0.0,7.83089568,1.2e-06,5.382219568729624e-08,1.2e-06,0,0,323.9362332158224,323.9362332158224,323.9362332158224,220.8107514632733,208.36423253175136,214.58749199751236,0.2986721564514507,0.2286899264654845
mp-22154,3,2,71.09220876855568,9.964386309090813,23.697402922851893,-3.15445895,-3.15445895,-0.2287091299999998,0.0,-0.1369994611111114,0.0,6.74962065,1e-07,1.406623900595846e-09,1e-07,0,0,51.98027585402628,51.980275854026274,51.980275854026274,18.12092511450952,17.237918790807495,17.679421952658508,0.2561232404032756,0.3472578342497039
mp-864921,4,3,65.14027337104487,12.744927989871885,16.285068342761218,-7.708232165,-7.708232165,-0.752019905,0.0,-0.1078486738888866,0.0,6.89871709,2.3e-06,3.5308417987425275e-08,2.3e-06,0,0,177.86936149303972,177.86936149303972,177.86936149303972,82.33064316273689,76.50144322115496,79.41604319194593,0.3809862726857673,0.3056780159037424
mp-865810,4,3,59.836906184788766,11.869333290143157,14.959226546197192,-10.79455829,-10.79455829,-0.4008332558333336,0.0,-0.1525499562500005,0.0,8.00251445,2.3e-06,3.8437816168120784e-08,2.3e-06,0,0,263.4211122633923,263.4211122633924,263.4211122633923,130.8768852995155,125.219532280054,128.04820878978475,0.2258973866316953,0.2908418835533931
mp-1672,2,2,46.41405753052727,2.5810342007468723,23.207028765263637,-5.219457435,-5.470957435,-2.3999325615625,0.0,-2.3999325615625,2.3819,2.66171321,0.0,0.0,0.0,0,0,57.065004269348215,57.06500426934821,57.06500426934821,39.94645020161912,38.49854441833482,39.22249730997697,0.1880468216604489,0.2203951993730652
mp-865717,4,3,59.45009929738507,13.244012912448657,14.862524824346268,-10.027778295,-10.027778295,-0.7592919454166651,0.0,-0.1315125424999994,0.0,7.92710856,4.03e-05,6.778794396693734e-07,4.03e-05,0,0,235.89759075798096,235.8975907579809,235.8975907579809,117.22696554694954,115.88700322742156,116.55698438718557,0.0578133130640354,0.287885316109765
mp-867897,4,3,63.70627702992554,11.157196307323364,15.926569257481384,-9.80956158,-9.80956158,-0.6247986262500014,0.0,-0.1934949474999996,0.0,7.04525046,7e-07,1.0987928233055912e-08,7e-07,0,0,205.34200375455416,205.3420037545483,205.34200375455123,103.85357081493858,98.47182120191088,101.16269600842472,0.2732634345206888,0.2884182468658555
mp-862312,4,3,46.958154891712816,8.090607856267628,11.739538722928204,-4.55426344,-4.55426344,-0.5522386020833334,0.0,-0.0370295699999996,0.0,4.05730143,3e-06,6.38866669041428e-08,3e-06,0,0,123.36262311003674,123.36262311003676,123.36262311003676,60.236166732594505,57.832102294670925,59.03413451363272,0.2078486119762859,0.2936456276367189
mp-24237,3,2,27.101691571099305,2.877993627799432,9.033897190366432,-5.0373809566666665,-5.15671429,-0.7840738916666664,0.0,-0.784073891666667,0.0,4.06345282,0.0004258,1.57111964352094e-05,0.0004258,0,0,96.76806601867854,96.76806601867852,96.76806601867852,64.5755359961836,60.50264986902415,62.53909293260388,0.3365874169128471,0.2341351194858734
mp-11512,4,3,53.85109216601141,7.805179437674647,13.462773041502851,-5.29582856,-5.29582856,-0.7362013833333343,0.0,-0.1486945670833339,0.0,7.37459486,5.3e-06,9.84195452092454e-08,5.3e-06,0,0,134.9600474507132,134.96004745071326,134.96004745071323,70.75637172150932,39.94351346830897,55.34994259490915,3.8570540718266,0.319601289424797
