LENGTHS: 503 89
Directory 'outs_efermi_norm_color_3_s5200' created.
Fold 1/5
Epoch 91/800, Loss: 0.0604, R^2: 0.9388, RMSE: 0.2361
Fold 1, Epoch 91, Validation R^2: 0.6309, Validation RMSE: 0.6016
Epoch 92/800, Loss: 0.0589, R^2: 0.9424, RMSE: 0.2313
Fold 1, Epoch 92, Validation R^2: 0.5801, Validation RMSE: 0.6417
Epoch 93/800, Loss: 0.0557, R^2: 0.9472, RMSE: 0.2251
Fold 1, Epoch 93, Validation R^2: 0.6480, Validation RMSE: 0.5875
Epoch 94/800, Loss: 0.0520, R^2: 0.9517, RMSE: 0.2124
Fold 1, Epoch 94, Validation R^2: 0.6314, Validation RMSE: 0.6012
Epoch 95/800, Loss: 0.0536, R^2: 0.9455, RMSE: 0.2191
Fold 1, Epoch 95, Validation R^2: 0.6101, Validation RMSE: 0.6183
Epoch 96/800, Loss: 0.0483, R^2: 0.9494, RMSE: 0.2106
Fold 1, Epoch 96, Validation R^2: 0.6647, Validation RMSE: 0.5734
Epoch 97/800, Loss: 0.0478, R^2: 0.9537, RMSE: 0.2055
Fold 1, Epoch 97, Validation R^2: 0.6054, Validation RMSE: 0.6220
Epoch 98/800, Loss: 0.0479, R^2: 0.9550, RMSE: 0.1991
Fold 1, Epoch 98, Validation R^2: 0.5554, Validation RMSE: 0.6603
Epoch 99/800, Loss: 0.0477, R^2: 0.9553, RMSE: 0.2050
Fold 1, Epoch 99, Validation R^2: 0.5577, Validation RMSE: 0.6586
Epoch 100/800, Loss: 0.0445, R^2: 0.9559, RMSE: 0.2003
Fold 1, Epoch 100, Validation R^2: 0.5558, Validation RMSE: 0.6600
Epoch 101/800, Loss: 0.0455, R^2: 0.9563, RMSE: 0.2031
Fold 1, Epoch 101, Validation R^2: 0.6351, Validation RMSE: 0.5982
Epoch 102/800, Loss: 0.0447, R^2: 0.9581, RMSE: 0.1927
Fold 1, Epoch 102, Validation R^2: 0.6168, Validation RMSE: 0.6130
Epoch 103/800, Loss: 0.0490, R^2: 0.9544, RMSE: 0.2065
Fold 1, Epoch 103, Validation R^2: 0.5862, Validation RMSE: 0.6370
Epoch 104/800, Loss: 0.0495, R^2: 0.9488, RMSE: 0.2118
Fold 1, Epoch 104, Validation R^2: 0.6088, Validation RMSE: 0.6193
Epoch 105/800, Loss: 0.0544, R^2: 0.9433, RMSE: 0.2265
Fold 1, Epoch 105, Validation R^2: 0.6171, Validation RMSE: 0.6127
Epoch 106/800, Loss: 0.1153, R^2: 0.8835, RMSE: 0.3209
Fold 1, Epoch 106, Validation R^2: 0.5220, Validation RMSE: 0.6846
Epoch 107/800, Loss: 0.1310, R^2: 0.8669, RMSE: 0.3544
Fold 1, Epoch 107, Validation R^2: 0.5533, Validation RMSE: 0.6618
Epoch 108/800, Loss: 0.0945, R^2: 0.9017, RMSE: 0.3016
Fold 1, Epoch 108, Validation R^2: 0.5709, Validation RMSE: 0.6487
Epoch 109/800, Loss: 0.0837, R^2: 0.9134, RMSE: 0.2851
Fold 1, Epoch 109, Validation R^2: 0.5717, Validation RMSE: 0.6481
Epoch 110/800, Loss: 0.0722, R^2: 0.9194, RMSE: 0.2641
Fold 1, Epoch 110, Validation R^2: 0.6535, Validation RMSE: 0.5829
Epoch 111/800, Loss: 0.0607, R^2: 0.9362, RMSE: 0.2386
Fold 1, Epoch 111, Validation R^2: 0.6489, Validation RMSE: 0.5868
Epoch 112/800, Loss: 0.0522, R^2: 0.9472, RMSE: 0.2201
Fold 1, Epoch 112, Validation R^2: 0.6223, Validation RMSE: 0.6086
Epoch 113/800, Loss: 0.0551, R^2: 0.9466, RMSE: 0.2240
Fold 1, Epoch 113, Validation R^2: 0.6113, Validation RMSE: 0.6174
